Theta [deg.]     Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]   Phase(Theta)[deg.]     Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
 135.000         180.000            2.423e+00          -2.893e+01              90.396           2.420e+00             293.762           3.938e+01     
 134.000         180.000            2.380e+00          -2.881e+01              90.717           2.377e+00             293.718           3.936e+01     
 133.000         180.000            2.337e+00          -2.871e+01              91.045           2.333e+00             293.673           3.934e+01     
 132.000         180.000            2.293e+00          -2.861e+01              91.380           2.290e+00             293.627           3.934e+01     
 131.000         180.000            2.249e+00          -2.851e+01              91.722           2.246e+00             293.580           3.934e+01     
 130.000         180.000            2.206e+00          -2.842e+01              92.070           2.202e+00             293.531           3.936e+01     
 129.000         180.000            2.162e+00          -2.833e+01              92.425           2.158e+00             293.480           3.938e+01     
 128.000         180.000            2.118e+00          -2.824e+01              92.786           2.114e+00             293.429           3.942e+01     
 127.000         180.000            2.073e+00          -2.816e+01              93.154           2.069e+00             293.375           3.947e+01     
 126.000         180.000            2.029e+00          -2.809e+01              93.528           2.025e+00             293.320           3.953e+01     
 125.000         180.000            1.985e+00          -2.802e+01              93.909           1.981e+00             293.264           3.960e+01     
 124.000         180.000            1.941e+00          -2.795e+01              94.296           1.937e+00             293.205           3.968e+01     
 123.000         180.000            1.898e+00          -2.788e+01              94.689           1.893e+00             293.145           3.977e+01     
 122.000         180.000            1.854e+00          -2.782e+01              95.087           1.849e+00             293.083           3.988e+01     
 121.000         180.000            1.811e+00          -2.776e+01              95.492           1.806e+00             293.019           4.000e+01     
 120.000         180.000            1.767e+00          -2.771e+01              95.903           1.763e+00             292.953           4.000e+01     
 119.000         180.000            1.725e+00          -2.766e+01              96.319           1.720e+00             292.885           4.000e+01     
 118.000         180.000            1.682e+00          -2.761e+01              96.740           1.677e+00             292.815           4.000e+01     
 117.000         180.000            1.640e+00          -2.756e+01              97.167           1.635e+00             292.743           4.000e+01     
 116.000         180.000            1.598e+00          -2.752e+01              97.599           1.593e+00             292.668           4.000e+01     
 115.000         180.000            1.557e+00          -2.748e+01              98.036           1.552e+00             292.591           4.000e+01     
 114.000         180.000            1.517e+00          -2.744e+01              98.477           1.511e+00             292.511           4.000e+01     
 113.000         180.000            1.476e+00          -2.741e+01              98.924           1.471e+00             292.429           4.000e+01     
 112.000         180.000            1.437e+00          -2.737e+01              99.374           1.431e+00             292.345           4.000e+01     
 111.000         180.000            1.398e+00          -2.734e+01              99.829           1.392e+00             292.257           4.000e+01     
 110.000         180.000            1.359e+00          -2.731e+01             100.287           1.354e+00             292.167           4.000e+01     
 109.000         180.000            1.322e+00          -2.729e+01             100.749           1.316e+00             292.073           4.000e+01     
 108.000         180.000            1.285e+00          -2.726e+01             101.215           1.279e+00             291.977           4.000e+01     
