Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 156.000          90.000            3.719e+00           3.719e+00             299.010          -6.342e+01             210.420           4.000e+01     
 157.000          90.000            3.762e+00           3.762e+00             298.850          -6.361e+01             210.592           4.000e+01     
 158.000          90.000            3.799e+00           3.799e+00             298.688          -6.380e+01             210.700           4.000e+01     
 159.000          90.000            3.833e+00           3.833e+00             298.525          -6.400e+01             210.741           4.000e+01     
 160.000          90.000            3.862e+00           3.862e+00             298.361          -6.420e+01             210.709           4.000e+01     
 161.000          90.000            3.886e+00           3.886e+00             298.195          -6.440e+01             210.597           4.000e+01     
 162.000          90.000            3.907e+00           3.907e+00             298.028          -6.461e+01             210.401           4.000e+01     
 163.000          90.000            3.923e+00           3.923e+00             297.859          -6.483e+01             210.113           4.000e+01     
 164.000          90.000            3.935e+00           3.935e+00             297.689          -6.505e+01             209.728           4.000e+01     
 165.000          90.000            3.942e+00           3.942e+00             297.517          -6.527e+01             209.237           4.000e+01     
 166.000          90.000            3.946e+00           3.946e+00             297.343          -6.549e+01             208.634           4.000e+01     
 167.000          90.000            3.945e+00           3.945e+00             297.168          -6.572e+01             207.911           4.000e+01     
 168.000          90.000            3.940e+00           3.940e+00             296.991          -6.596e+01             207.059           4.000e+01     
 169.000          90.000            3.930e+00           3.930e+00             296.812          -6.619e+01             206.070           4.000e+01     
 170.000          90.000            3.917e+00           3.917e+00             296.631          -6.643e+01             204.934           4.000e+01     
 171.000          90.000            3.899e+00           3.899e+00             296.449          -6.666e+01             203.645           4.000e+01     
 172.000          90.000            3.878e+00           3.878e+00             296.264          -6.690e+01             202.192           4.000e+01     
 173.000          90.000            3.852e+00           3.852e+00             296.078          -6.713e+01             200.568           4.000e+01     
 174.000          90.000            3.821e+00           3.821e+00             295.889          -6.736e+01             198.766           4.000e+01     
 175.000          90.000            3.787e+00           3.787e+00             295.699          -6.757e+01             196.782           4.000e+01     
 176.000          90.000            3.749e+00           3.749e+00             295.506          -6.778e+01             194.611           4.000e+01     
 177.000          90.000            3.706e+00           3.706e+00             295.312          -6.798e+01             192.254           4.000e+01     
 178.000          90.000            3.660e+00           3.660e+00             295.115          -6.815e+01             189.715           4.000e+01     
 179.000          90.000            3.609e+00           3.609e+00             294.916          -6.831e+01             187.001           4.000e+01     
 180.000          90.000            3.554e+00           3.554e+00             294.715          -6.844e+01             184.123           4.000e+01     
 179.000         270.000            3.496e+00           3.496e+00             114.512          -6.854e+01               1.106           4.000e+01     
 178.000         270.000            3.433e+00           3.433e+00             114.307          -6.861e+01             357.972           4.000e+01     
 177.000         270.000            3.366e+00           3.366e+00             114.100          -6.864e+01             354.748           4.000e+01     
 176.000         270.000            3.295e+00           3.295e+00             113.891          -6.864e+01             351.467           4.000e+01     
 175.000         270.000            3.220e+00           3.220e+00             113.680          -6.860e+01             348.164           4.000e+01     
 174.000         270.000            3.141e+00           3.141e+00             113.467          -6.853e+01             344.874           4.000e+01     
 173.000         270.000            3.058e+00           3.058e+00             113.251          -6.842e+01             341.630           4.000e+01     
 172.000         270.000            2.971e+00           2.971e+00             113.034          -6.828e+01             338.464           4.000e+01     
 171.000         270.000            2.880e+00           2.880e+00             112.814          -6.811e+01             335.400           4.000e+01     
 170.000         270.000            2.786e+00           2.786e+00             112.593          -6.791e+01             332.461           4.000e+01     
 169.000         270.000            2.687e+00           2.687e+00             112.369          -6.770e+01             329.661           4.000e+01     
 168.000         270.000            2.584e+00           2.584e+00             112.144          -6.746e+01             327.012           4.000e+01     
 167.000         270.000            2.478e+00           2.478e+00             111.916          -6.721e+01             324.518           4.000e+01     
 166.000         270.000            2.367e+00           2.367e+00             111.687          -6.695e+01             322.181           4.000e+01     
 165.000         270.000            2.253e+00           2.253e+00             111.456          -6.668e+01             320.000           4.000e+01     
 164.000         270.000            2.135e+00           2.135e+00             111.223          -6.640e+01             317.969           4.000e+01     
 163.000         270.000            2.013e+00           2.013e+00             110.988          -6.613e+01             316.084           4.000e+01     
 162.000         270.000            1.887e+00           1.887e+00             110.752          -6.585e+01             314.337           4.000e+01     
 161.000         270.000            1.758e+00           1.758e+00             110.513          -6.558e+01             312.720           4.000e+01     
 160.000         270.000            1.624e+00           1.624e+00             110.274          -6.530e+01             311.224           4.000e+01     
 159.000         270.000            1.487e+00           1.487e+00             110.033          -6.504e+01             309.842           4.000e+01     
 158.000         270.000            1.347e+00           1.347e+00             109.790          -6.477e+01             308.565           4.000e+01     
 157.000         270.000            1.202e+00           1.202e+00             109.546          -6.452e+01             307.385           4.000e+01     
 156.000         270.000            1.054e+00           1.054e+00             109.301          -6.426e+01             306.295           4.000e+01     
 155.000         270.000            9.024e-01           9.024e-01             109.055          -6.402e+01             305.289           4.000e+01     
 154.000         270.000            7.471e-01           7.471e-01             108.808          -6.378e+01             304.359           4.000e+01     
 153.000         270.000            5.882e-01           5.882e-01             108.560          -6.356e+01             303.499           4.000e+01     
 152.000         270.000            4.258e-01           4.258e-01             108.311          -6.333e+01             302.704           4.000e+01     
 151.000         270.000            2.599e-01           2.599e-01             108.062          -6.312e+01             301.969           4.000e+01     
 150.000         270.000            9.042e-02           9.041e-02             107.813          -6.292e+01             301.289           4.000e+01     
 149.000         270.000           -8.249e-02          -8.249e-02             107.563          -6.272e+01             300.660           4.000e+01     
 148.000         270.000           -2.588e-01          -2.588e-01             107.314          -6.253e+01             300.078           4.000e+01     
 147.000         270.000           -4.386e-01          -4.386e-01             107.064          -6.234e+01             299.539           4.000e+01     
 146.000         270.000           -6.217e-01          -6.217e-01             106.816          -6.217e+01             299.041           4.000e+01     
 145.000         270.000           -8.081e-01          -8.081e-01             106.568          -6.200e+01             298.579           4.000e+01     
 144.000         270.000           -9.978e-01          -9.978e-01             106.321          -6.184e+01             298.152           4.000e+01     
 143.000         270.000           -1.191e+00          -1.191e+00             106.075          -6.168e+01             297.756           4.000e+01     
 142.000         270.000           -1.387e+00          -1.387e+00             105.831          -6.153e+01             297.390           4.000e+01     
 141.000         270.000           -1.587e+00          -1.587e+00             105.590          -6.139e+01             297.052           4.000e+01     
 140.000         270.000           -1.789e+00          -1.789e+00             105.350          -6.126e+01             296.739           4.000e+01     
 139.000         270.000           -1.995e+00          -1.995e+00             105.113          -6.113e+01             296.449           4.000e+01     
 138.000         270.000           -2.204e+00          -2.204e+00             104.880          -6.100e+01             296.182           4.000e+01     
 137.000         270.000           -2.416e+00          -2.416e+00             104.649          -6.089e+01             295.935           4.000e+01     
 136.000         270.000           -2.631e+00          -2.631e+00             104.424          -6.077e+01             295.707           4.000e+01     
 135.000         270.000           -2.849e+00          -2.849e+00             104.202          -6.067e+01             295.496           4.000e+01     
 134.000         270.000           -3.069e+00          -3.070e+00             103.986          -6.056e+01             295.303           4.000e+01     
 133.000         270.000           -3.293e+00          -3.293e+00             103.775          -6.047e+01             295.124           4.000e+01     
 132.000         270.000           -3.520e+00          -3.520e+00             103.571          -6.038e+01             294.960           4.000e+01     
 131.000         270.000           -3.750e+00          -3.750e+00             103.374          -6.029e+01             294.810           4.000e+01     
 130.000         270.000           -3.983e+00          -3.983e+00             103.184          -6.020e+01             294.671           4.000e+01     
 129.000         270.000           -4.218e+00          -4.218e+00             103.003          -6.012e+01             294.544           4.000e+01     
 128.000         270.000           -4.456e+00          -4.456e+00             102.831          -6.005e+01             294.428           4.000e+01     
 127.000         270.000           -4.697e+00          -4.697e+00             102.669          -5.998e+01             294.321           4.000e+01     
 126.000         270.000           -4.941e+00          -4.941e+00             102.518          -5.991e+01             294.223           4.000e+01     
 125.000         270.000           -5.188e+00          -5.188e+00             102.379          -5.984e+01             294.134           4.000e+01     
 124.000         270.000           -5.438e+00          -5.438e+00             102.253          -5.978e+01             294.052           4.000e+01     
 123.000         270.000           -5.690e+00          -5.690e+00             102.140          -5.972e+01             293.977           4.000e+01     
 122.000         270.000           -5.945e+00          -5.945e+00             102.043          -5.966e+01             293.908           4.000e+01     
 121.000         270.000           -6.203e+00          -6.203e+00             101.962          -5.961e+01             293.845           4.000e+01     
 120.000         270.000           -6.464e+00          -6.464e+00             101.898          -5.956e+01             293.787           4.000e+01     
 119.000         270.000           -6.728e+00          -6.728e+00             101.854          -5.951e+01             293.734           4.000e+01     
 118.000         270.000           -6.995e+00          -6.995e+00             101.829          -5.946e+01             293.684           4.000e+01     
 117.000         270.000           -7.264e+00          -7.264e+00             101.827          -5.942e+01             293.638           4.000e+01     
 116.000         270.000           -7.537e+00          -7.537e+00             101.848          -5.937e+01             293.595           4.000e+01     
 115.000         270.000           -7.813e+00          -7.813e+00             101.894          -5.933e+01             293.554           4.000e+01     
 114.000         270.000           -8.092e+00          -8.092e+00             101.967          -5.929e+01             293.515           4.000e+01     
 113.000         270.000           -8.374e+00          -8.374e+00             102.070          -5.925e+01             293.477           4.000e+01     
 112.000         270.000           -8.659e+00          -8.659e+00             102.203          -5.921e+01             293.441           4.000e+01     
 111.000         270.000           -8.948e+00          -8.948e+00             102.370          -5.917e+01             293.405           4.000e+01     
 110.000         270.000           -9.240e+00          -9.240e+00             102.573          -5.913e+01             293.370           4.000e+01     
 109.000         270.000           -9.536e+00          -9.536e+00             102.815          -5.909e+01             293.334           4.000e+01     
 108.000         270.000           -9.836e+00          -9.836e+00             103.098          -5.906e+01             293.298           4.000e+01     
 107.000         270.000           -1.014e+01          -1.014e+01             103.425          -5.902e+01             293.261           4.000e+01     
 106.000         270.000           -1.045e+01          -1.045e+01             103.801          -5.899e+01             293.223           4.000e+01     
 105.000         270.000           -1.076e+01          -1.076e+01             104.228          -5.895e+01             293.184           4.000e+01     
 104.000         270.000           -1.107e+01          -1.107e+01             104.710          -5.891e+01             293.143           4.000e+01     
 103.000         270.000           -1.140e+01          -1.140e+01             105.252          -5.888e+01             293.101           4.000e+01     
 102.000         270.000           -1.172e+01          -1.172e+01             105.859          -5.884e+01             293.056           4.000e+01     
 101.000         270.000           -1.205e+01          -1.205e+01             106.535          -5.881e+01             293.010           4.000e+01     
 100.000         270.000           -1.239e+01          -1.239e+01             107.288          -5.877e+01             292.961           4.000e+01     
  99.000         270.000           -1.273e+01          -1.273e+01             108.122          -5.873e+01             292.910           4.000e+01     
  98.000         270.000           -1.307e+01          -1.307e+01             109.046          -5.869e+01             292.856           4.000e+01     
  97.000         270.000           -1.342e+01          -1.342e+01             110.067          -5.865e+01             292.800           4.000e+01     
  96.000         270.000           -1.378e+01          -1.378e+01             111.194          -5.861e+01             292.741           4.000e+01     
  95.000         270.000           -1.414e+01          -1.414e+01             112.437          -5.857e+01             292.680           4.000e+01     
  94.000         270.000           -1.451e+01          -1.451e+01             113.808          -5.853e+01             292.617           4.000e+01     
  93.000         270.000           -1.488e+01          -1.488e+01             115.317          -5.849e+01             292.551           4.000e+01     
  92.000         270.000           -1.526e+01          -1.526e+01             116.979          -5.845e+01             292.483           4.000e+01     
  91.000         270.000           -1.564e+01          -1.564e+01             118.809          -5.840e+01             292.413           4.000e+01     
  90.000         270.000           -1.602e+01          -1.602e+01             120.823          -5.836e+01             292.341           4.000e+01     
  89.000         270.000           -1.641e+01          -1.641e+01             123.038          -5.832e+01             292.268           4.000e+01     
  88.000         270.000           -1.679e+01          -1.679e+01             125.475          -5.827e+01             292.193           4.000e+01     
  87.000         270.000           -1.717e+01          -1.717e+01             128.151          -5.822e+01             292.116           4.000e+01     
  86.000         270.000           -1.755e+01          -1.755e+01             131.086          -5.818e+01             292.038           4.000e+01     
  85.000         270.000           -1.791e+01          -1.791e+01             134.299          -5.813e+01             291.960           4.000e+01     
  84.000         270.000           -1.826e+01          -1.826e+01             137.805          -5.808e+01             291.881           4.000e+01     
  83.000         270.000           -1.858e+01          -1.858e+01             141.614          -5.803e+01             291.802           4.000e+01     
  82.000         270.000           -1.888e+01          -1.888e+01             145.728          -5.798e+01             291.724           4.000e+01     
  81.000         270.000           -1.913e+01          -1.913e+01             150.138          -5.793e+01             291.645           4.000e+01     
  80.000         270.000           -1.934e+01          -1.934e+01             154.823          -5.787e+01             291.568           4.000e+01     
  79.000         270.000           -1.949e+01          -1.949e+01             159.744          -5.782e+01             291.492           4.000e+01     
  78.000         270.000           -1.958e+01          -1.958e+01             164.849          -5.777e+01             291.417           4.000e+01     
