Theta[deg.]      Phi[deg.]        Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]  Abs(Phi)[dBi]       Phase(Phi)[deg.]    Ax.Ratio[dB]    
 175.000          90.000            2.435e+00           2.434e+00             263.107          -3.953e+01             170.922           4.000e+01     
 176.000          90.000            2.314e+00           2.314e+00             262.782          -3.947e+01             170.492           4.000e+01     
 177.000          90.000            2.187e+00           2.187e+00             262.449          -3.940e+01             170.070           4.000e+01     
 178.000          90.000            2.054e+00           2.054e+00             262.108          -3.934e+01             169.654           4.000e+01     
 179.000          90.000            1.915e+00           1.914e+00             261.758          -3.927e+01             169.247           4.000e+01     
 180.000          90.000            1.769e+00           1.769e+00             261.398          -3.921e+01             168.848           4.000e+01     
 179.000         270.000            1.617e+00           1.616e+00              81.029          -3.915e+01             348.456           4.000e+01     
 178.000         270.000            1.458e+00           1.458e+00              80.650          -3.909e+01             348.072           4.000e+01     
 177.000         270.000            1.293e+00           1.293e+00              80.261          -3.903e+01             347.697           4.000e+01     
 176.000         270.000            1.121e+00           1.121e+00              79.861          -3.897e+01             347.331           4.000e+01     
 175.000         270.000            9.430e-01           9.426e-01              79.450          -3.892e+01             346.973           3.987e+01     
 174.000         270.000            7.579e-01           7.574e-01              79.027          -3.886e+01             346.624           3.963e+01     
 173.000         270.000            5.660e-01           5.655e-01              78.593          -3.881e+01             346.284           3.938e+01     
 172.000         270.000            3.673e-01           3.667e-01              78.146          -3.876e+01             345.954           3.913e+01     
 171.000         270.000            1.616e-01           1.610e-01              77.686          -3.871e+01             345.632           3.888e+01     
 170.000         270.000           -5.117e-02          -5.177e-02              77.212          -3.866e+01             345.320           3.862e+01     
 169.000         270.000           -2.710e-01          -2.716e-01              76.725          -3.862e+01             345.018           3.835e+01     
 168.000         270.000           -4.980e-01          -4.987e-01              76.222          -3.857e+01             344.725           3.808e+01     
 167.000         270.000           -7.324e-01          -7.331e-01              75.704          -3.853e+01             344.442           3.780e+01     
 166.000         270.000           -9.740e-01          -9.748e-01              75.169          -3.849e+01             344.168           3.752e+01     
 165.000         270.000           -1.223e+00          -1.224e+00              74.617          -3.845e+01             343.903           3.723e+01     
 164.000         270.000           -1.480e+00          -1.481e+00              74.047          -3.841e+01             343.649           3.693e+01     
 163.000         270.000           -1.744e+00          -1.745e+00              73.458          -3.838e+01             343.404           3.663e+01     
 162.000         270.000           -2.016e+00          -2.017e+00              72.849          -3.834e+01             343.168           3.633e+01     
 161.000         270.000           -2.296e+00          -2.297e+00              72.218          -3.831e+01             342.942           3.601e+01     
 160.000         270.000           -2.584e+00          -2.585e+00              71.565          -3.828e+01             342.725           3.570e+01     
 159.000         270.000           -2.880e+00          -2.881e+00              70.889          -3.825e+01             342.518           3.537e+01     
 158.000         270.000           -3.184e+00          -3.185e+00              70.187          -3.822e+01             342.320           3.504e+01     
 157.000         270.000           -3.496e+00          -3.498e+00              69.458          -3.820e+01             342.131           3.471e+01     
 156.000         270.000           -3.817e+00          -3.818e+00              68.702          -3.817e+01             341.951           3.437e+01     
 155.000         270.000           -4.146e+00          -4.147e+00              67.915          -3.815e+01             341.781           3.402e+01     
 154.000         270.000           -4.483e+00          -4.485e+00              67.096          -3.813e+01             341.619           3.367e+01     
 153.000         270.000           -4.829e+00          -4.831e+00              66.244          -3.811e+01             341.466           3.331e+01     
 152.000         270.000           -5.184e+00          -5.186e+00              65.355          -3.809e+01             341.321           3.295e+01     
 151.000         270.000           -5.548e+00          -5.550e+00              64.428          -3.807e+01             341.185           3.258e+01     
 150.000         270.000           -5.920e+00          -5.923e+00              63.460          -3.806e+01             341.057           3.221e+01     
 149.000         270.000           -6.301e+00          -6.304e+00              62.447          -3.804e+01             340.938           3.183e+01     
 148.000         270.000           -6.691e+00          -6.695e+00              61.388          -3.803e+01             340.825           3.145e+01     
 147.000         270.000           -7.090e+00          -7.094e+00              60.279          -3.802e+01             340.721           3.107e+01     
 146.000         270.000           -7.498e+00          -7.502e+00              59.117          -3.801e+01             340.624           3.068e+01     
 145.000         270.000           -7.915e+00          -7.919e+00              57.897          -3.800e+01             340.534           3.029e+01     
 144.000         270.000           -8.340e+00          -8.345e+00              56.617          -3.799e+01             340.451           2.990e+01     
 143.000         270.000           -8.774e+00          -8.779e+00              55.271          -3.798e+01             340.374           2.951e+01     
 142.000         270.000           -9.216e+00          -9.221e+00              53.856          -3.798e+01             340.304           2.912e+01     
 141.000         270.000           -9.666e+00          -9.672e+00              52.367          -3.797e+01             340.240           2.873e+01     
 140.000         270.000           -1.012e+01          -1.013e+01              50.798          -3.797e+01             340.181           2.834e+01     
 139.000         270.000           -1.059e+01          -1.060e+01              49.146          -3.796e+01             340.128           2.796e+01     
 138.000         270.000           -1.106e+01          -1.107e+01              47.405          -3.796e+01             340.080           2.759e+01     
 137.000         270.000           -1.154e+01          -1.155e+01              45.569          -3.796e+01             340.036           2.723e+01     
 136.000         270.000           -1.202e+01          -1.203e+01              43.635          -3.796e+01             339.997           2.688e+01     
 135.000         270.000           -1.251e+01          -1.252e+01              41.597          -3.796e+01             339.962           2.655e+01     
 134.000         270.000           -1.300e+01          -1.301e+01              39.450          -3.796e+01             339.930           2.625e+01     
 133.000         270.000           -1.349e+01          -1.351e+01              37.191          -3.796e+01             339.901           2.596e+01     
 132.000         270.000           -1.398e+01          -1.400e+01              34.817          -3.796e+01             339.876           2.571e+01     
 131.000         270.000           -1.447e+01          -1.449e+01              32.325          -3.796e+01             339.852           2.550e+01     
 130.000         270.000           -1.496e+01          -1.498e+01              29.716          -3.797e+01             339.831           2.533e+01     
 129.000         270.000           -1.545e+01          -1.547e+01              26.991          -3.797e+01             339.811           2.521e+01     
 128.000         270.000           -1.592e+01          -1.595e+01              24.153          -3.797e+01             339.792           2.516e+01     
 127.000         270.000           -1.639e+01          -1.642e+01              21.208          -3.798e+01             339.774           2.517e+01     
 126.000         270.000           -1.685e+01          -1.689e+01              18.163          -3.798e+01             339.756           2.527e+01     
 125.000         270.000           -1.730e+01          -1.734e+01              15.030          -3.798e+01             339.738           2.546e+01     
 124.000         270.000           -1.773e+01          -1.777e+01              11.822          -3.799e+01             339.720           2.577e+01     
 123.000         270.000           -1.815e+01          -1.819e+01               8.554          -3.799e+01             339.700           2.620e+01     
 122.000         270.000           -1.855e+01          -1.860e+01               5.245          -3.800e+01             339.679           2.678e+01     
 121.000         270.000           -1.894e+01          -1.899e+01               1.912          -3.800e+01             339.656           2.753e+01     
 120.000         270.000           -1.931e+01          -1.937e+01             358.576          -3.801e+01             339.631           2.851e+01     
 119.000         270.000           -1.967e+01          -1.974e+01             355.256          -3.801e+01             339.603           2.978e+01     
 118.000         270.000           -2.002e+01          -2.009e+01             351.969          -3.802e+01             339.572           3.143e+01     
 117.000         270.000           -2.035e+01          -2.043e+01             348.734          -3.802e+01             339.537           3.367e+01     
 116.000         270.000           -2.068e+01          -2.076e+01             345.564          -3.803e+01             339.498           3.695e+01     
 115.000         270.000           -2.101e+01          -2.109e+01             342.472          -3.803e+01             339.455           4.000e+01     
 114.000         270.000           -2.133e+01          -2.142e+01             339.466          -3.804e+01             339.407           4.000e+01     
 113.000         270.000           -2.165e+01          -2.175e+01             336.552          -3.804e+01             339.354           4.000e+01     
 112.000         270.000           -2.198e+01          -2.209e+01             333.732          -3.805e+01             339.296           3.644e+01     
 111.000         270.000           -2.232e+01          -2.244e+01             331.007          -3.805e+01             339.231           3.274e+01     
 110.000         270.000           -2.267e+01          -2.280e+01             328.372          -3.806e+01             339.161           3.006e+01     
 109.000         270.000           -2.305e+01          -2.319e+01             325.822          -3.806e+01             339.084           2.793e+01     
 108.000         270.000           -2.344e+01          -2.359e+01             323.347          -3.807e+01             339.000           2.614e+01     
 107.000         270.000           -2.386e+01          -2.403e+01             320.935          -3.807e+01             338.908           2.456e+01     
 106.000         270.000           -2.431e+01          -2.450e+01             318.569          -3.808e+01             338.810           2.313e+01     
 105.000         270.000           -2.480e+01          -2.501e+01             316.230          -3.808e+01             338.703           2.178e+01     
