Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]     Phase(Theta)[deg.]   Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 163.000           0.000            1.518e+00          -4.194e+01             183.945           1.518e+00              82.641           4.000e+01     
 164.000           0.000            1.547e+00          -4.178e+01             183.071           1.546e+00              82.500           4.000e+01     
 165.000           0.000            1.573e+00          -4.162e+01             182.174           1.573e+00              82.368           4.000e+01     
 166.000           0.000            1.598e+00          -4.146e+01             181.259           1.598e+00              82.244           4.000e+01     
 167.000           0.000            1.622e+00          -4.130e+01             180.331           1.622e+00              82.129           4.000e+01     
 168.000           0.000            1.644e+00          -4.114e+01             179.396           1.643e+00              82.021           4.000e+01     
 169.000           0.000            1.664e+00          -4.097e+01             178.458           1.663e+00              81.923           4.000e+01     
 170.000           0.000            1.682e+00          -4.081e+01             177.522           1.682e+00              81.833           4.000e+01     
 171.000           0.000            1.699e+00          -4.064e+01             176.590           1.699e+00              81.751           4.000e+01     
 172.000           0.000            1.714e+00          -4.047e+01             175.666           1.714e+00              81.677           4.000e+01     
 173.000           0.000            1.727e+00          -4.031e+01             174.754           1.727e+00              81.613           4.000e+01     
 174.000           0.000            1.738e+00          -4.014e+01             173.856           1.738e+00              81.556           4.000e+01     
 175.000           0.000            1.748e+00          -3.998e+01             172.973           1.748e+00              81.509           4.000e+01     
 176.000           0.000            1.756e+00          -3.982e+01             172.108           1.756e+00              81.469           4.000e+01     
 177.000           0.000            1.762e+00          -3.967e+01             171.262           1.762e+00              81.439           4.000e+01     
 178.000           0.000            1.766e+00          -3.951e+01             170.437           1.766e+00              81.417           4.000e+01     
 179.000           0.000            1.768e+00          -3.936e+01             169.633           1.768e+00              81.403           4.000e+01     
 180.000           0.000            1.769e+00          -3.921e+01             168.848           1.769e+00              81.398           4.000e+01     
 179.000         180.000            1.767e+00          -3.907e+01             348.090           1.767e+00             261.402           4.000e+01     
 178.000         180.000            1.764e+00          -3.893e+01             347.354           1.764e+00             261.414           4.000e+01     
 177.000         180.000            1.759e+00          -3.879e+01             346.643           1.759e+00             261.435           4.000e+01     
 176.000         180.000            1.752e+00          -3.867e+01             345.955           1.752e+00             261.464           4.000e+01     
 175.000         180.000            1.744e+00          -3.854e+01             345.290           1.743e+00             261.502           4.000e+01     
 174.000         180.000            1.733e+00          -3.843e+01             344.650           1.733e+00             261.548           4.000e+01     
 173.000         180.000            1.721e+00          -3.832e+01             344.032           1.721e+00             261.603           4.000e+01     
 172.000         180.000            1.707e+00          -3.821e+01             343.438           1.706e+00             261.667           4.000e+01     
 171.000         180.000            1.691e+00          -3.811e+01             342.867           1.691e+00             261.739           3.991e+01     
 170.000         180.000            1.673e+00          -3.802e+01             342.319           1.673e+00             261.819           3.982e+01     
 169.000         180.000            1.654e+00          -3.794e+01             341.793           1.654e+00             261.908           3.973e+01     
 168.000         180.000            1.633e+00          -3.787e+01             341.289           1.633e+00             262.006           3.965e+01     
 167.000         180.000            1.610e+00          -3.780e+01             340.807           1.610e+00             262.112           3.958e+01     
 166.000         180.000            1.586e+00          -3.774e+01             340.347           1.586e+00             262.226           3.951e+01     
 165.000         180.000            1.560e+00          -3.769e+01             339.908           1.560e+00             262.349           3.945e+01     
 164.000         180.000            1.533e+00          -3.764e+01             339.490           1.532e+00             262.480           3.940e+01     
 163.000         180.000            1.503e+00          -3.761e+01             339.093           1.503e+00             262.619           3.936e+01     
 162.000         180.000            1.473e+00          -3.758e+01             338.717           1.472e+00             262.766           3.932e+01     
 161.000         180.000            1.441e+00          -3.757e+01             338.362           1.440e+00             262.922           3.929e+01     
 160.000         180.000            1.407e+00          -3.756e+01             338.027           1.407e+00             263.086           3.927e+01     
 159.000         180.000            1.372e+00          -3.756e+01             337.713           1.372e+00             263.258           3.926e+01     
 158.000         180.000            1.336e+00          -3.758e+01             337.420           1.336e+00             263.438           3.926e+01     
 157.000         180.000            1.299e+00          -3.760e+01             337.148           1.298e+00             263.625           3.926e+01     
 156.000         180.000            1.260e+00          -3.764e+01             336.897           1.259e+00             263.821           3.928e+01     
 155.000         180.000            1.220e+00          -3.768e+01             336.668           1.219e+00             264.024           3.931e+01     
 154.000         180.000            1.179e+00          -3.774e+01             336.461           1.178e+00             264.235           3.934e+01     
