Column1.1,Column1.2
               Frequency                         ,S11
                   3.168                     ,-2.5769496
               3.1719999                     ,-2.5683364
               3.1760001                     ,-2.5607103
               3.1800001                     ,-2.554048
                   3.184                     ,-2.5483165
                   3.188                      ,-2.5434785
               3.1919999                     ,-2.5394915
               3.1960001                     ,-2.5363108
                     3.2                     ,-2.5338875
                   3.204                     ,-2.532172
               3.2079999                     ,-2.531113
               3.2119999                     ,-2.5306647
               3.2160001                     ,-2.5307803
                    3.22                     ,-2.5314204
                   3.224                     ,-2.5325485
               3.2279999                     ,-2.5341372
               3.2320001                     ,-2.5361637
               3.2360001                     ,-2.5386139
                    3.24                     ,-2.541485
                   3.244                     ,-2.544778
               3.2479999                     ,-2.5485027
               3.2520001                     ,-2.5526774
                   3.256                     ,-2.5573276
                    3.26                     ,-2.5624805
               3.2639999                     ,-2.5681727
               3.2679999                     ,-2.5744384
               3.2720001                     ,-2.581317
                   3.276                     ,-2.5888458
                    3.28                     ,-2.5970617
               3.2839999                      ,-2.6059974
               3.2880001                     ,-2.6156829
               3.2920001                     ,-2.626142
                   3.296                     ,-2.6373922
                     3.3                     ,-2.6494444
               3.3039999                     ,-2.6623017
               3.3080001                      ,-2.6759615
                   3.312                      ,-2.6904111
                   3.316                     ,-2.7056342
               3.3199999                     ,-2.7216063
               3.3239999                     ,-2.7382986
               3.3280001                     ,-2.7556775
                   3.332                     ,-2.7737069
                   3.336                     ,-2.7923484
               3.3399999                     ,-2.8115664
               3.3440001                      ,-2.8313222
                   3.348                      ,-2.8515841
                   3.352                     ,-2.8723211
               3.3559999                     ,-2.8935108
               3.3599999                     ,-2.9151336
               3.3640001                     ,-2.9371791
                   3.368                     ,-2.9596431
                   3.372                     ,-2.9825282
               3.3759999                      ,-3.0058451
               3.3800001                     ,-3.0296113
               3.3840001                     ,-3.0538497
                   3.388                     ,-3.0785879
                   3.392                     ,-3.1038574
               3.3959999                      ,-3.1296931
               3.4000001                     ,-3.1561294
                   3.404                     ,-3.183202
                   3.408                     ,-3.2109393
               3.4119999                     ,-3.2393722
               3.4159999                     ,-3.268522
               3.4200001                     ,-3.2984056
                   3.424                     ,-3.3290298
                   3.428                     ,-3.3603953
               3.4319999                     ,-3.3924913
               3.4360001                     ,-3.4252994
               3.4400001                     ,-3.4587918
                   3.444                     ,-3.492931
                   3.448                     ,-3.5276729
               3.4519999                     ,-3.562964
               3.4560001                     ,-3.5987446
                    3.46                     ,-3.6349518
                   3.464                     ,-3.6715196
               3.4679999                     ,-3.7083786
               3.4719999                     ,-3.7454632
               3.4760001                     ,-3.7827068
                    3.48                     ,-3.8200474
                   3.484                     ,-3.8574277
               3.4879999                     ,-3.8947974
               3.4920001                     ,-3.9321146
               3.4960001                     ,-3.9693427
                     3.5                     ,-4.0064541
               3.5039999                     ,-4.0434315
               3.5079999                      ,-4.0802624
               3.5120001                     ,-4.1169451
                   3.516                     ,-4.1534791
                    3.52                      ,-4.1898725
               3.5239999                     ,-4.2261345
               3.5280001                     ,-4.2622766
               3.5320001                     ,-4.2983083
                   3.536                     ,-4.3342377
                    3.54                     ,-4.3700678
               3.5439999                     ,-4.4057967
               3.5480001                      ,-4.4414159
                   3.552                     ,-4.4769078
                   3.556                      ,-4.5122434
               3.5599999                     ,-4.5473875
               3.5639999                     ,-4.5822959
               3.5680001                     ,-4.6169106
                   3.572                     ,-4.6511689
                   3.576                     ,-4.6850003
