Column1,Column2,Column3,Column4,,
                Frequency                      ,S11,,,,
               3.5039999                     ,-3.1508354,,,,
               3.5079999                     ,-3.1705714,,,,
               3.5120001                     ,-3.1919463,,,,
                   3.516                     ,-3.2150374,,,,
                    3.52                     ,-3.2397747,,,,
               3.5239999                     ,-3.2659461,,,,
               3.5280001                     ,-3.2932334,,,,
               3.5320001                     ,-3.3212624,,,,
                   3.536                     ,-3.3496619,,,,
                    3.54                     ,-3.3781282,,,,
               3.5439999                     ,-3.4064733,,,,
               3.5480001                     ,-3.4346531,,,,
                   3.552                     ,-3.4627779,,,,
                   3.556                     ,-3.4910832,,,,
               3.5599999                     ,-3.5198927,,,,
               3.5639999                     ,-3.5495568,,,,
               3.5680001                     ,-3.5803835,,,,
                   3.572                     ,-3.6125926,,,,
                   3.576                     ,-3.6462644,,,,
               3.5799999                     ,-3.6813271,,,,
               3.5840001                     ,-3.7175631,,,,
               3.5880001                     ,-3.7546427,,,,
                   3.592                     ,-3.7921803,,,,
                   3.596                     ,-3.8297912,,,,
               3.5999999                     ,-3.8671633,,,,
               3.6040001                     ,-3.9041056,,,,
                   3.608                     ,-3.9405783,,,,
                   3.612                     ,-3.9767017,,,,
               3.6159999                     ,-4.0127285,,,,
               3.6199999                     ,-4.0489986,,,,
               3.6240001                     ,-4.0858769,,,,
                   3.628                      ,-4.123685,,,,
                   3.632                       ,-4.16264,,,,
               3.6359999                     ,-4.2028161,,,,
               3.6400001                     ,-4.2441215,,,,
               3.6440001                     ,-4.2863136,,,,
                   3.648                     ,-4.3290363,,,,
                   3.652                     ,-4.3718743,,,,
               3.6559999                     ,-4.4144264,,,,
               3.6600001                     ,-4.4563699,,,,
                   3.664                     ,-4.4975163,,,,
                   3.668                     ,-4.5378442,,,,
               3.6719999                     ,-4.5774974,,,,
               3.6760001                     ,-4.6167614,,,,
               3.6800001                     ,-4.6560034,,,,
                   3.684                     ,-4.6956084,,,,
                   3.688                     ,-4.7359042,,,,
               3.6919999                     ,-4.7771055,,,,
               3.6960001                     ,-4.8192579,,,,
                     3.7                     ,-4.8622364,,,,
                   3.704                     ,-4.9057569,,,,
               3.7079999                     ,-4.9494213,,,,
               3.7119999                     ,-4.9927812,,,,
               3.7160001                     ,-5.0354182,,,,
                    3.72                     ,-5.0770066,,,,
                   3.724                      ,-5.117382,,,,
               3.7279999                     ,-5.1565568,,,,
               3.7320001                     ,-5.1947222,,,,
               3.7360001                     ,-5.2322098,,,,
                    3.74                     ,-5.2694247,,,,
                   3.744                     ,-5.3067786,,,,
               3.7479999                     ,-5.3446004,,,,
               3.7520001                     ,-5.3830832,,,,
                   3.756                     ,-5.4222376,,,,
                    3.76                     ,-5.4618846,,,,
               3.7639999                     ,-5.5016881,,,,
               3.7679999                     ,-5.5411992,,,,
               3.7720001                     ,-5.5799437,,,,
                   3.776                     ,-5.6174899,,,,
