Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]      Phase(Phi)[deg.]      Ax.Ratio[dB]    
 142.000         270.000           -2.466e+00          -2.466e+00              98.602          -4.546e+01             347.750           4.000e+01     
 141.000         270.000           -2.701e+00          -2.701e+00              98.180          -4.532e+01             347.435           4.000e+01     
 140.000         270.000           -2.940e+00          -2.940e+00              97.756          -4.519e+01             347.135           4.000e+01     
 139.000         270.000           -3.183e+00          -3.183e+00              97.331          -4.506e+01             346.850           4.000e+01     
 138.000         270.000           -3.431e+00          -3.431e+00              96.906          -4.494e+01             346.578           4.000e+01     
 137.000         270.000           -3.682e+00          -3.682e+00              96.480          -4.483e+01             346.320           4.000e+01     
 136.000         270.000           -3.938e+00          -3.938e+00              96.054          -4.472e+01             346.073           4.000e+01     
 135.000         270.000           -4.198e+00          -4.198e+00              95.629          -4.461e+01             345.837           4.000e+01     
 134.000         270.000           -4.462e+00          -4.462e+00              95.205          -4.451e+01             345.612           4.000e+01     
 133.000         270.000           -4.730e+00          -4.731e+00              94.783          -4.441e+01             345.397           4.000e+01     
 132.000         270.000           -5.003e+00          -5.004e+00              94.364          -4.431e+01             345.191           3.981e+01     
 131.000         270.000           -5.280e+00          -5.281e+00              93.949          -4.422e+01             344.993           3.943e+01     
 130.000         270.000           -5.562e+00          -5.563e+00              93.538          -4.414e+01             344.803           3.905e+01     
 129.000         270.000           -5.849e+00          -5.849e+00              93.132          -4.405e+01             344.621           3.866e+01     
 128.000         270.000           -6.140e+00          -6.141e+00              92.732          -4.397e+01             344.445           3.828e+01     
 127.000         270.000           -6.436e+00          -6.437e+00              92.340          -4.389e+01             344.276           3.790e+01     
 126.000         270.000           -6.737e+00          -6.738e+00              91.956          -4.382e+01             344.112           3.751e+01     
 125.000         270.000           -7.043e+00          -7.044e+00              91.582          -4.375e+01             343.953           3.712e+01     
 124.000         270.000           -7.354e+00          -7.355e+00              91.218          -4.368e+01             343.800           3.673e+01     
 123.000         270.000           -7.671e+00          -7.672e+00              90.868          -4.362e+01             343.651           3.634e+01     
 122.000         270.000           -7.993e+00          -7.994e+00              90.531          -4.355e+01             343.505           3.595e+01     
 121.000         270.000           -8.322e+00          -8.323e+00              90.209          -4.349e+01             343.364           3.555e+01     
 120.000         270.000           -8.656e+00          -8.658e+00              89.906          -4.343e+01             343.225           3.515e+01     
 119.000         270.000           -8.997e+00          -8.999e+00              89.621          -4.338e+01             343.090           3.475e+01     
 118.000         270.000           -9.345e+00          -9.347e+00              89.359          -4.332e+01             342.957           3.434e+01     
 117.000         270.000           -9.700e+00          -9.702e+00              89.120          -4.327e+01             342.826           3.393e+01     
 116.000         270.000           -1.006e+01          -1.007e+01              88.908          -4.322e+01             342.697           3.351e+01     
 115.000         270.000           -1.043e+01          -1.044e+01              88.726          -4.318e+01             342.570           3.309e+01     
 114.000         270.000           -1.081e+01          -1.082e+01              88.576          -4.313e+01             342.444           3.266e+01     
 113.000         270.000           -1.120e+01          -1.121e+01              88.463          -4.309e+01             342.318           3.223e+01     
 112.000         270.000           -1.160e+01          -1.160e+01              88.390          -4.305e+01             342.194           3.179e+01     
 111.000         270.000           -1.201e+01          -1.201e+01              88.362          -4.300e+01             342.070           3.135e+01     
 110.000         270.000           -1.243e+01          -1.244e+01              88.384          -4.297e+01             341.947           3.089e+01     
 109.000         270.000           -1.287e+01          -1.287e+01              88.462          -4.293e+01             341.823           3.043e+01     
 108.000         270.000           -1.331e+01          -1.332e+01              88.603          -4.289e+01             341.699           2.996e+01     
 107.000         270.000           -1.378e+01          -1.378e+01              88.815          -4.286e+01             341.575           2.948e+01     
 106.000         270.000           -1.425e+01          -1.426e+01              89.106          -4.282e+01             341.450           2.899e+01     
 105.000         270.000           -1.475e+01          -1.476e+01              89.488          -4.279e+01             341.324           2.848e+01     
 104.000         270.000           -1.527e+01          -1.527e+01              89.974          -4.276e+01             341.198           2.797e+01     
 103.000         270.000           -1.580e+01          -1.581e+01              90.580          -4.273e+01             341.070           2.744e+01     
 102.000         270.000           -1.636e+01          -1.637e+01              91.324          -4.270e+01             340.941           2.689e+01     
 101.000         270.000           -1.695e+01          -1.696e+01              92.230          -4.268e+01             340.811           2.634e+01     
 100.000         270.000           -1.756e+01          -1.758e+01              93.327          -4.265e+01             340.680           2.577e+01     
  99.000         270.000           -1.821e+01          -1.822e+01              94.653          -4.262e+01             340.547           2.520e+01     
