Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]    Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 153.000           0.000            2.798e+00          -3.714e+01              76.406           2.798e+00             111.985           4.000e+01     
 154.000           0.000            2.835e+00          -3.744e+01              76.196           2.835e+00             111.961           4.000e+01     
 155.000           0.000            2.872e+00          -3.775e+01              76.007           2.871e+00             111.937           4.000e+01     
 156.000           0.000            2.907e+00          -3.808e+01              75.841           2.906e+00             111.915           4.000e+01     
 157.000           0.000            2.941e+00          -3.844e+01              75.699           2.940e+00             111.893           4.000e+01     
 158.000           0.000            2.973e+00          -3.882e+01              75.583           2.973e+00             111.872           4.000e+01     
 159.000           0.000            3.005e+00          -3.922e+01              75.495           3.004e+00             111.852           4.000e+01     
 160.000           0.000            3.035e+00          -3.965e+01              75.437           3.035e+00             111.833           4.000e+01     
 161.000           0.000            3.064e+00          -4.011e+01              75.414           3.064e+00             111.815           4.000e+01     
 162.000           0.000            3.091e+00          -4.060e+01              75.428           3.091e+00             111.797           4.000e+01     
 163.000           0.000            3.118e+00          -4.113e+01              75.486           3.117e+00             111.781           4.000e+01     
 164.000           0.000            3.142e+00          -4.171e+01              75.594           3.142e+00             111.765           4.000e+01     
 165.000           0.000            3.166e+00          -4.233e+01              75.762           3.166e+00             111.751           4.000e+01     
 166.000           0.000            3.188e+00          -4.301e+01              76.002           3.188e+00             111.737           4.000e+01     
 167.000           0.000            3.209e+00          -4.375e+01              76.331           3.209e+00             111.724           4.000e+01     
 168.000           0.000            3.228e+00          -4.458e+01              76.773           3.228e+00             111.713           4.000e+01     
 169.000           0.000            3.246e+00          -4.550e+01              77.364           3.246e+00             111.702           4.000e+01     
 170.000           0.000            3.262e+00          -4.653e+01              78.156           3.262e+00             111.692           4.000e+01     
 171.000           0.000            3.277e+00          -4.771e+01              79.235           3.277e+00             111.683           4.000e+01     
 172.000           0.000            3.290e+00          -4.909e+01              80.744           3.290e+00             111.676           4.000e+01     
 173.000           0.000            3.302e+00          -5.072e+01              82.943           3.302e+00             111.669           4.000e+01     
 174.000           0.000            3.312e+00          -5.271e+01              86.359           3.312e+00             111.663           4.000e+01     
 175.000           0.000            3.320e+00          -5.524e+01              92.209           3.320e+00             111.658           4.000e+01     
 176.000           0.000            3.328e+00          -5.857e+01             103.866           3.328e+00             111.655           4.000e+01     
 177.000           0.000            3.333e+00          -6.248e+01             131.733           3.333e+00             111.652           4.000e+01     
 178.000           0.000            3.337e+00          -6.285e+01             181.858           3.337e+00             111.650           4.000e+01     
 179.000           0.000            3.339e+00          -5.902e+01             212.897           3.339e+00             111.649           4.000e+01     
 180.000           0.000            3.340e+00          -5.558e+01             225.773           3.340e+00             111.649           4.000e+01     
 179.000         180.000            3.340e+00          -5.296e+01              52.133           3.340e+00             291.651           4.000e+01     
 178.000         180.000            3.337e+00          -5.090e+01              55.839           3.337e+00             291.653           4.000e+01     
 177.000         180.000            3.333e+00          -4.923e+01              58.252           3.333e+00             291.656           4.000e+01     
 176.000         180.000            3.328e+00          -4.782e+01              59.951           3.328e+00             291.660           4.000e+01     
 175.000         180.000            3.321e+00          -4.661e+01              61.216           3.321e+00             291.665           4.000e+01     
 174.000         180.000            3.313e+00          -4.556e+01              62.203           3.313e+00             291.672           4.000e+01     
 173.000         180.000            3.303e+00          -4.462e+01              63.000           3.303e+00             291.679           4.000e+01     
 172.000         180.000            3.291e+00          -4.378e+01              63.665           3.291e+00             291.687           4.000e+01     
 171.000         180.000            3.278e+00          -4.301e+01              64.235           3.278e+00             291.696           4.000e+01     
 170.000         180.000            3.263e+00          -4.232e+01              64.735           3.263e+00             291.706           4.000e+01     
 169.000         180.000            3.247e+00          -4.168e+01              65.182           3.247e+00             291.717           4.000e+01     
 168.000         180.000            3.230e+00          -4.110e+01              65.590           3.229e+00             291.730           4.000e+01     
 167.000         180.000            3.211e+00          -4.056e+01              65.969           3.210e+00             291.743           4.000e+01     
 166.000         180.000            3.190e+00          -4.005e+01              66.326           3.190e+00             291.757           4.000e+01     
 165.000         180.000            3.168e+00          -3.958e+01              66.667           3.168e+00             291.772           4.000e+01     
 164.000         180.000            3.145e+00          -3.915e+01              66.997           3.145e+00             291.788           4.000e+01     
 163.000         180.000            3.120e+00          -3.874e+01              67.318           3.120e+00             291.805           4.000e+01     
 162.000         180.000            3.094e+00          -3.835e+01              67.635           3.094e+00             291.822           4.000e+01     
 161.000         180.000            3.067e+00          -3.799e+01              67.949           3.066e+00             291.841           4.000e+01     
 160.000         180.000            3.038e+00          -3.765e+01              68.263           3.038e+00             291.861           4.000e+01     
 159.000         180.000            3.008e+00          -3.733e+01              68.578           3.008e+00             291.881           4.000e+01     
 158.000         180.000            2.977e+00          -3.703e+01              68.895           2.976e+00             291.903           4.000e+01     
 157.000         180.000            2.944e+00          -3.674e+01              69.217           2.944e+00             291.925           4.000e+01     
 156.000         180.000            2.910e+00          -3.647e+01              69.544           2.910e+00             291.948           4.000e+01     
 155.000         180.000            2.876e+00          -3.621e+01              69.877           2.875e+00             291.972           4.000e+01     
 154.000         180.000            2.840e+00          -3.597e+01              70.218           2.839e+00             291.997           4.000e+01     
 153.000         180.000            2.803e+00          -3.575e+01              70.566           2.802e+00             292.022           4.000e+01     
 152.000         180.000            2.764e+00          -3.553e+01              70.923           2.764e+00             292.048           4.000e+01     
 151.000         180.000            2.725e+00          -3.533e+01              71.289           2.725e+00             292.075           4.000e+01     
 150.000         180.000            2.685e+00          -3.513e+01              71.665           2.684e+00             292.103           4.000e+01     
 149.000         180.000            2.644e+00          -3.495e+01              72.052           2.643e+00             292.131           4.000e+01     
 148.000         180.000            2.602e+00          -3.478e+01              72.449           2.601e+00             292.159           4.000e+01     
 147.000         180.000            2.559e+00          -3.461e+01              72.858           2.558e+00             292.189           4.000e+01     
 146.000         180.000            2.516e+00          -3.446e+01              73.279           2.515e+00             292.218           4.000e+01     
 145.000         180.000            2.471e+00          -3.431e+01              73.713           2.470e+00             292.249           4.000e+01     
 144.000         180.000            2.426e+00          -3.417e+01              74.159           2.425e+00             292.279           4.000e+01     
 143.000         180.000            2.380e+00          -3.404e+01              74.619           2.379e+00             292.310           4.000e+01     
 142.000         180.000            2.334e+00          -3.392e+01              75.092           2.333e+00             292.341           4.000e+01     
 141.000         180.000            2.287e+00          -3.380e+01              75.580           2.286e+00             292.372           4.000e+01     
 140.000         180.000            2.239e+00          -3.369e+01              76.081           2.238e+00             292.403           4.000e+01     
 139.000         180.000            2.191e+00          -3.359e+01              76.598           2.190e+00             292.435           4.000e+01     
 138.000         180.000            2.143e+00          -3.349e+01              77.129           2.141e+00             292.466           4.000e+01     
 137.000         180.000            2.094e+00          -3.340e+01              77.676           2.092e+00             292.497           4.000e+01     
 136.000         180.000            2.045e+00          -3.331e+01              78.238           2.043e+00             292.528           4.000e+01     
 135.000         180.000            1.995e+00          -3.323e+01              78.816           1.994e+00             292.558           4.000e+01     
 134.000         180.000            1.945e+00          -3.316e+01              79.411           1.944e+00             292.588           4.000e+01     
 133.000         180.000            1.896e+00          -3.309e+01              80.021           1.894e+00             292.617           4.000e+01     
 132.000         180.000            1.846e+00          -3.302e+01              80.648           1.844e+00             292.646           4.000e+01     
 131.000         180.000            1.796e+00          -3.296e+01              81.291           1.794e+00             292.674           4.000e+01     
 130.000         180.000            1.746e+00          -3.290e+01              81.951           1.744e+00             292.701           4.000e+01     
 129.000         180.000            1.696e+00          -3.285e+01              82.628           1.694e+00             292.727           4.000e+01     
 128.000         180.000            1.646e+00          -3.280e+01              83.322           1.645e+00             292.751           4.000e+01     
 127.000         180.000            1.597e+00          -3.275e+01              84.033           1.595e+00             292.775           4.000e+01     
 126.000         180.000            1.547e+00          -3.270e+01              84.761           1.546e+00             292.797           4.000e+01     
