Theta[deg.]     Phi[deg.]         Abs(Gain)[dBi]      Abs(Theta)[dBi]    Phase(Theta)[deg.]   Abs(Phi)[dBi]      Phase(Phi)[deg.]     Ax.Ratio[dB]    
 173.000          90.000            3.773e+00           3.773e+00             294.871          -6.810e+01             193.360           4.000e+01     
 174.000          90.000            3.738e+00           3.738e+00             294.680          -6.654e+01             188.063           4.000e+01     
 175.000          90.000            3.699e+00           3.699e+00             294.485          -6.515e+01             184.259           4.000e+01     
 176.000          90.000            3.656e+00           3.656e+00             294.288          -6.391e+01             181.428           4.000e+01     
 177.000          90.000            3.609e+00           3.609e+00             294.087          -6.280e+01             179.254           4.000e+01     
 178.000          90.000            3.557e+00           3.557e+00             293.882          -6.180e+01             177.543           4.000e+01     
 179.000          90.000            3.501e+00           3.501e+00             293.675          -6.089e+01             176.169           4.000e+01     
 180.000          90.000            3.440e+00           3.440e+00             293.464          -6.005e+01             175.042           4.000e+01     
 179.000         270.000            3.376e+00           3.376e+00             113.250          -5.928e+01             354.111           4.000e+01     
 178.000         270.000            3.307e+00           3.307e+00             113.032          -5.857e+01             353.331           4.000e+01     
 177.000         270.000            3.234e+00           3.234e+00             112.812          -5.790e+01             352.670           4.000e+01     
 176.000         270.000            3.157e+00           3.157e+00             112.588          -5.728e+01             352.106           4.000e+01     
 175.000         270.000            3.075e+00           3.075e+00             112.361          -5.670e+01             351.622           4.000e+01     
 174.000         270.000            2.989e+00           2.989e+00             112.130          -5.615e+01             351.203           4.000e+01     
 173.000         270.000            2.899e+00           2.899e+00             111.896          -5.563e+01             350.841           4.000e+01     
 172.000         270.000            2.805e+00           2.805e+00             111.659          -5.514e+01             350.525           4.000e+01     
 171.000         270.000            2.707e+00           2.707e+00             111.418          -5.467e+01             350.250           4.000e+01     
 170.000         270.000            2.604e+00           2.604e+00             111.174          -5.423e+01             350.009           4.000e+01     
 169.000         270.000            2.498e+00           2.498e+00             110.927          -5.381e+01             349.799           4.000e+01     
 168.000         270.000            2.387e+00           2.387e+00             110.676          -5.341e+01             349.616           4.000e+01     
 167.000         270.000            2.272e+00           2.272e+00             110.423          -5.303e+01             349.456           4.000e+01     
 166.000         270.000            2.153e+00           2.153e+00             110.166          -5.266e+01             349.318           4.000e+01     
 165.000         270.000            2.029e+00           2.029e+00             109.905          -5.231e+01             349.197           4.000e+01     
 164.000         270.000            1.902e+00           1.902e+00             109.642          -5.198e+01             349.094           4.000e+01     
 163.000         270.000            1.771e+00           1.771e+00             109.376          -5.166e+01             349.005           4.000e+01     
