Theta[deg.]      Phi[deg.]       Abs(Gain)[dBi]     Abs(Theta)[dBi]    Phase(Theta)[deg.]     Abs(Phi)[dBi]     Phase(Phi)[deg.]      Ax.Ratio[dB]    
 117.000         180.000            1.326e+00          -3.022e+01              95.244           1.323e+00             293.358           4.000e+01     
 116.000         180.000            1.283e+00          -3.019e+01              95.905           1.280e+00             293.326           4.000e+01     
 115.000         180.000            1.241e+00          -3.015e+01              96.574           1.238e+00             293.293           4.000e+01     
 114.000         180.000            1.200e+00          -3.012e+01              97.251           1.196e+00             293.256           4.000e+01     
 113.000         180.000            1.159e+00          -3.009e+01              97.936           1.156e+00             293.216           4.000e+01     
 112.000         180.000            1.119e+00          -3.006e+01              98.629           1.116e+00             293.172           4.000e+01     
 111.000         180.000            1.080e+00          -3.003e+01              99.329           1.077e+00             293.126           4.000e+01     
 110.000         180.000            1.042e+00          -3.000e+01             100.035           1.039e+00             293.076           4.000e+01     
 109.000         180.000            1.005e+00          -2.998e+01             100.747           1.002e+00             293.022           4.000e+01     
 108.000         180.000            9.693e-01          -2.995e+01             101.465           9.658e-01             292.965           4.000e+01     
 107.000         180.000            9.345e-01          -2.993e+01             102.188           9.309e-01             292.904           4.000e+01     
 106.000         180.000            9.008e-01          -2.991e+01             102.916           8.972e-01             292.838           4.000e+01     
 105.000         180.000            8.682e-01          -2.989e+01             103.648           8.645e-01             292.769           4.000e+01     
 104.000         180.000            8.368e-01          -2.987e+01             104.384           8.331e-01             292.695           4.000e+01     
 103.000         180.000            8.066e-01          -2.985e+01             105.123           8.029e-01             292.617           4.000e+01     
 102.000         180.000            7.777e-01          -2.983e+01             105.864           7.739e-01             292.535           4.000e+01     
 101.000         180.000            7.501e-01          -2.981e+01             106.608           7.462e-01             292.448           4.000e+01     
 100.000         180.000            7.237e-01          -2.979e+01             107.352           7.199e-01             292.356           4.000e+01     
  99.000         180.000            6.988e-01          -2.977e+01             108.098           6.949e-01             292.259           4.000e+01     
  98.000         180.000            6.752e-01          -2.976e+01             108.844           6.712e-01             292.158           4.000e+01     
  97.000         180.000            6.529e-01          -2.974e+01             109.589           6.490e-01             292.052           4.000e+01     
  96.000         180.000            6.321e-01          -2.973e+01             110.334           6.281e-01             291.941           4.000e+01     
  95.000         180.000            6.127e-01          -2.971e+01             111.077           6.087e-01             291.824           4.000e+01     
  94.000         180.000            5.948e-01          -2.970e+01             111.818           5.907e-01             291.703           4.000e+01     
  93.000         180.000            5.783e-01          -2.968e+01             112.556           5.742e-01             291.576           4.000e+01     
  92.000         180.000            5.633e-01          -2.967e+01             113.292           5.592e-01             291.445           4.000e+01     
  91.000         180.000            5.498e-01          -2.966e+01             114.023           5.457e-01             291.308           4.000e+01     
  90.000         180.000            5.378e-01          -2.965e+01             114.750           5.336e-01             291.166           4.000e+01     
  89.000         180.000            5.273e-01          -2.963e+01             115.472           5.231e-01             291.018           4.000e+01     
  88.000         180.000            5.183e-01          -2.962e+01             116.189           5.141e-01             290.866           4.000e+01     
  87.000         180.000            5.108e-01          -2.961e+01             116.901           5.065e-01             290.708           4.000e+01     
  86.000         180.000            5.048e-01          -2.960e+01             117.606           5.005e-01             290.545           4.000e+01     
  85.000         180.000            5.003e-01          -2.960e+01             118.304           4.960e-01             290.377           4.000e+01     
  84.000         180.000            4.973e-01          -2.959e+01             118.995           4.930e-01             290.204           4.000e+01     
  83.000         180.000            4.958e-01          -2.958e+01             119.679           4.915e-01             290.026           4.000e+01     
  82.000         180.000            4.958e-01          -2.957e+01             120.355           4.915e-01             289.842           4.000e+01     
  81.000         180.000            4.972e-01          -2.957e+01             121.022           4.930e-01             289.654           4.000e+01     
  80.000         180.000            5.002e-01          -2.957e+01             121.681           4.959e-01             289.462           4.000e+01     
  79.000         180.000            5.046e-01          -2.956e+01             122.332           5.003e-01             289.264           4.000e+01     
  78.000         180.000            5.104e-01          -2.956e+01             122.973           5.061e-01             289.062           4.000e+01     
  77.000         180.000            5.176e-01          -2.956e+01             123.604           5.134e-01             288.856           4.000e+01     
  76.000         180.000            5.263e-01          -2.956e+01             124.226           5.220e-01             288.645           4.000e+01     
  75.000         180.000            5.363e-01          -2.956e+01             124.838           5.320e-01             288.430           4.000e+01     
  74.000         180.000            5.476e-01          -2.957e+01             125.441           5.434e-01             288.211           4.000e+01     
  73.000         180.000            5.603e-01          -2.957e+01             126.033           5.561e-01             287.988           4.000e+01     
  72.000         180.000            5.743e-01          -2.958e+01             126.614           5.701e-01             287.762           3.997e+01     
